iter	Passed	Remaining
0	170	3231
1	194	1751
2	220	1247
3	246	986
4	270	812
5	294	687
6	317	590
7	337	506
8	363	443
9	378	378
10	401	328
11	425	283
12	451	242
13	475	203
14	497	165
15	510	127
16	533	94
17	555	61
18	564	29
19	586	0
