iter	Passed	Remaining
0	162	3081
1	187	1683
2	213	1211
3	239	958
4	264	793
5	287	671
6	310	577
7	330	495
8	354	432
9	372	372
10	399	326
11	429	286
12	456	245
13	479	205
14	503	167
15	515	128
16	538	95
17	561	62
18	570	30
19	594	0
